Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
189,[713.08177233],[79.22976214],[89.43941146],[84.9583326],[86.14924343],[106.97156206],[0.90310213],[131.14505593],[134.28530258]
190,[683.00318345],[125.01682566],[87.13174187],[72.69021047],[110.28279668],[103.99612139],[2.89852563],[80.92902991],[100.05793186]
191,[656.79608239],[92.84870302],[114.1630197],[100.4095392],[69.89896923],[49.65374023],[2.36498833],[140.13360422],[87.32351846]
192,[664.52988064],[101.22161386],[102.54446737],[87.45023046],[60.72203116],[93.14376413],[5.58154066],[105.65844889],[108.2077841]
193,[690.93022894],[107.94532235],[80.97812435],[59.5149673],[106.09515614],[83.63645012],[1.28107687],[118.30609294],[133.17303888]
194,[627.54726074],[137.65198427],[42.67833085],[91.62871696],[82.12291264],[104.61713107],[3.32912],[80.96902468],[84.55004026]
195,[717.89297552],[75.46165957],[92.26521382],[129.79235478],[131.5191236],[75.87587306],[1.35852038],[110.67995665],[100.94027367]
196,[587.21118758],[91.78164484],[129.37848305],[124.18638272],[79.20224126],[41.27519255],[-3.64454791],[59.99578585],[65.03600524]
197,[312.66091362],[13.677008],[59.39211786],[54.46034771],[6.7150157],[72.86991591],[-30.4051064],[54.3676973],[81.58391755]
198,[653.47305565],[110.06823829],[61.29523554],[97.22566682],[50.13440417],[111.51927857],[1.1301804],[107.81193754],[114.28811433]
199,[608.29578179],[81.58142582],[101.94062932],[107.7166298],[83.91125042],[68.35424202],[10.23146759],[79.68293509],[74.87720172]
